,season,episode,character,line
87,6,1,"Jared Vogle, Subway spokesman",Well of course I knew it.
88,6,1,"Christine Jonez, Jared's fiancée",Why the hell wouldn't you tell me?!
89,6,1,"Jared Vogle, Subway spokesman",I didn't think it was that big of a deal.
90,6,1,"Christine Jonez, Jared's fiancée",Not that big of a deal?! I slept with you!
91,6,1,"Jared Vogle, Subway spokesman",Aren't you overreacting a little bit?
92,6,1,"Christine Jonez, Jared's fiancée","Well, Jesus Christ! We're supposed to get married!"
93,6,1,"Jared Vogle, Subway spokesman","We can still get married Christine, I mean, sure, they're my aides now, but after we get married... they'll be our aides [Christine sobs] You'll love having aides, Christine, you really will. And when we have children, they'll have aides. It'll make things so simple! [Christine throws up her arms, rises from her chair, and runs out of the restaurant sobbing] Christine! [rises and moves to follow Christine, but stops to think] Jeez, those boys were right. People really don't like aides. I'd better tell everyone the truth."
94,6,1,Chef,"Hello there, children."
95,6,1,Kyle Broflovski,"Chef, we need Butters to gain about fifty pounds fast."
96,6,1,Chef,Fifty pounds? Why?
97,6,1,Eric Cartman,"Uuuh, school project."
98,6,1,Chef,"Well, if you want him to get really fat as fast as possible, one of you will have to marry him."
99,6,1,Stan Marsh,Marry him?
100,6,1,Chef,It definitely worked for every woman I ever met.
101,6,1,Butters Stotch,"Oh, no, no, no! I ain't gettin' married; my parents will ground me!"
102,6,1,Kyle Broflovski,"Yeah, none of us wanna marry Butters."
103,6,1,Butters Stotch,"[self-conscious] Well, uh, how come? What's wrong with me?"
104,6,1,Chef,"Well, I guess we're gonna have to do this the old-fashioned way. Come on back, children. [all of them move away from the counter and towards the back]"
105,6,1,Butters Stotch,"Ugh. [sets his plate down] Wuh, wuh, I can't eat no more."
106,6,1,Kyle Broflovski,"You have to! Here, have some more mayonnaise. [scoops out a tablespoon and hands it to Butters, but Butters doesn't take it. Chef enters and Butters begins to throw up]"
107,6,1,Stan Marsh,"[notices] Chef, we need more food."
108,6,1,Chef,"I'm runnin' out, children. [leaves. Butters vomits some more]"
109,6,1,Eric Cartman,Damnit Butters! Keep eating or I'll kick you till you're deader than Kenny!
110,6,1,Stan Marsh,"[soberly] Dude, that isn't cool. You shouldn't joke about Kenny being dead. Enough time hasn't passed."
111,6,1,Eric Cartman,So how long until we can joke about it?
112,6,1,Kyle Broflovski,Twenty-two point three years. That's how long it takes for something tragic to become funny.
113,6,1,Eric Cartman,"Wugh, that's a long time to wait."
114,6,1,Butters Stotch,Wull I can't eat no more. I-I just keep pukin' it up.
115,6,1,Eric Cartman,Then eat your puke.
116,6,1,Butters Stotch,No!
117,6,1,Eric Cartman,"Oh, come on! Japanese girls do it. [Butters looks at Cartman, then at his puke. Reluctantly he scoops it up and eats it.]"
118,6,1,Subway Representative,"Ladies and gentlemen, we at Subway are happy to inform you that Jared has elected to stay in South Park in order to speak to you once again! [the crowd oohs and aaha]"
119,6,1,Man 1,He's going to speak with us once again!
120,6,1,Subway Representative,"So, here he is, Jared! [the crowd cheers, and Jared is again walking towards them, grinning]"
121,6,1,Subway Singer,"He's still lookin' good, eatin' them sandwiches all the time... [Jared walks up on stage and takes the podium]"
122,6,1,"Jared Vogle, Subway spokesman","Thank you-hoo, thank you all. Subway's is a healthy way to eat fast food and lose weight!"
123,6,1,Subway Representative,All right! [pumps his arm as the crowd reacts]
124,6,1,"Jared Vogle, Subway spokesman","But, [the crowd quiets down] I feel like I need to come a little clean about something, uh-... it wasn't just Subway sandwiches that made me thin."
125,6,1,Subway Representative,...Huh?
126,6,1,"Jared Vogle, Subway spokesman",The reason I was able to lose so much weight so quickly was that I got aides. [grins with relief. The rep's jaw drops.]
127,6,1,Man 2,Huh?
128,6,1,Man 3,What?
129,6,1,Man 4,Did he say AIDS?
130,6,1,"Jared Vogle, Subway spokesman","But I still wanna be the leader in a fitter America, and so I'm here to tell you, that you should ALL go out and get aides! [the crowd immediately begins to disperse]"
131,6,1,Man 2,Oh my God!
132,6,1,A woman,Is he serious?
133,6,1,"Jared Vogle, Subway spokesman","Having aides - is - awesome! With aides you can literally watch the fat melt away! And with the proper mix of aides and Subway sandwiches, anything is possible! [the rep, looking on in dismay, has had enough and pushes Jared out of the way to take the mic]"
134,6,1,Subway Representative,"Uh, the opinions expressed by Mr. Vogle are not necessarily those of the Subway Company. [Jared soothes his left arm a bit]"
135,6,1,Kyle Broflovski,Wow! He looks great!
136,6,1,Stan Marsh,"How do you feel, Butters?"
137,6,1,Butters Stotch,"W-well, k-kinda like Cartman. [Cartman slaps Butters and shakes him] Aw!"
138,6,1,Eric Cartman,"Get a hold of yourself, man!"
139,6,1,Stan Marsh,"Alright, now it's time for phase 2."
140,6,1,Tuong Lu Kim,Welcome to Shitty Wok. You rike to try Shitty Chicken today?
141,6,1,Eric Cartman,"Sir, we have come to offer you the business deal of a lifetime."
142,6,1,Tuong Lu Kim,You want the Shitty Beef?
143,6,1,Kyle Broflovski,Nope. We wanna show the world how healthy your food is. Our fat friend here is going to lose forty pounds eating at Shitty Wok.
144,6,1,Tuong Lu Kim,Which one? I see two fat friends.
145,6,1,Eric Cartman,[pointing to Butters] The fat one!
146,6,1,Stan Marsh,"We're gonna take before and after photos, and then, when he gets skinny from eating your food, we'll show the world."
147,6,1,Tuong Lu Kim,...Why?
148,6,1,Kyle Broflovski,Because then you can pay us to use our friend in commercials.
149,6,1,Tuong Lu Kim,Oh! You mean like-a Jared?!
150,6,1,Eric Cartman,Just like Jared.
151,6,1,Tuong Lu Kim,"His name is Jared, he lose some weight. Shitty Wok food sure is great. Yeah, okay. That sound good. Saw if he lose weight eating Shitty Wok, I pay use to use him in commercial."
152,6,1,The Boys,All right!
153,6,1,Eric Cartman,"Sir, we are in business!"
154,6,1,Subway Representative,"[second from left] Jared, first of all we want to say that all of us here at Subway appreciate everything you've done for our company."
155,6,1,"Jared Vogle, Subway spokesman","[happily] Well, I appreciate your company doing everything it's done for me."
156,6,1,Subway Rep 2,"[second from right] Yes, well, it is now the opinion of all of us that perhaps it would be best for you to take your... strange theories on weight loss elsewhere."
157,6,1,"Jared Vogle, Subway spokesman",[crestfallen] ...'Scuse me... am I being fired?
158,6,1,Subway Rep 3,"[center] Jared, it's just that your new take on weight loss is contrary to our commitment to good health."
159,6,1,"Jared Vogle, Subway spokesman",How so?
160,6,1,Subway Representative,"Well, your new slogan, for instance. [clears his throat] ""When it comes to fitness, Subway goes hand in hand with aides."""
161,6,1,"Jared Vogle, Subway spokesman","[softly] Ah-hah. [he rises and leaves the ""SANDWICH MARKETING"" building with hands in pockets. He closes the door and walks away dejectedly. He passes a basketball court where a few people are shooting baskets. He looks at them as he passes by. Then he stops, looks at the camera, sighs, and ]"
162,6,1,Subway Singer,"His name is Jared. Jared lost weight eating Subway, now he's cold and alone and with no place to call his home. He liked sandwiches with Philadelphia cream cheese."
163,6,1,Eric Cartman,"[heard from the outside] Come on, Butters, you gotta get skinny again! [the camera goes inside. People are exercising on all sorts of equipment. A woman runs by on a track on the second floor. Butters is pulling at a rowing machine as Cartman spots him. Cartman is eating Cheesy Poofs and barking orders] You are such a flabby hunk of crap! Look at those jelly rolls! Jelly rolls I tell ya!! You still got seven chins, boah! You'll never be thin!! Nobody loves you!"
164,6,1,Butters Stotch,"[looks at Cartman] Wuh hey now, they do too! Uh, my mom and dad - love me even if I am fat."
165,6,1,Eric Cartman,"[normal] Butters, I'm just trying to offer some motivational help here."
166,6,1,Butters Stotch,Well alright then.
167,6,1,Eric Cartman,[barking] Row you fat bitch! Look at those jelly rolls! Nobody loves you! You're not even a person!
168,6,1,"Jared Vogle, Subway spokesman",I never asked to be famous; now everyone hates me! I almost wish I had never gotten aides! [his aides come in]
169,6,1,"Jared's Aides, Scott and Tyler","Hey now, come on. What kind of talk is that?"
170,6,1,"Jared Vogle, Subway spokesman","I'm sorry, guys, but I...I think I wanna be aides-free for a while."
171,6,1,"Jared's Aides, Scott and Tyler","Come on, Jared, lighten up! People don't hate you."
172,6,1,"Jared's Aides, Scott and Tyler",Yeah. Maybe they're all just jealous that they can't afford to hire their own aides.
173,6,1,"Jared Vogle, Subway spokesman",[brightening] Wait a minute... you're right! [moves towards the camera] Yeah! I think I know how to be a celebrity again! [heads for the door]
174,6,1,Stan Marsh,Did you bring the camera?
175,6,1,Kyle Broflovski,"Yeah, we're all set."
176,6,1,Eric Cartman,"[steps in between them] Guys, I think this might be a good time to discuss some business."
177,6,1,Kyle Broflovski,"Well, what do you mean?"
178,6,1,Eric Cartman,"Well, when City Wok sees how skinny Butters is, they're not gonna want him to just make one commercial, they're gonna want several."
179,6,1,Stan Marsh,That's true. Jared did like a hundred for Subway Sandwiches.
180,6,1,Eric Cartman,I think we're looking at a non-exclusive two-year fifty-picture deal here. My calculations put that at about four million dollars.
181,6,1,Kyle Broflovski,Wow! [he and Stan are awed]
182,6,1,Eric Cartman,"Now, I think the four million should be split evenly among the three of us, except that I should get a twenty percent per negation fee off the gross for having come up with the idea."
183,6,1,Butters Stotch,[arrives as Cartman speaks] Hey fellas.
184,6,1,Stan Marsh,Butters?! What the hell are you doing?!
185,6,1,Kyle Broflovski,"Yeah, you're still fat!"
186,6,1,Butters Stotch,"Well, I know, ah I can't seem to lose it."
187,6,1,Eric Cartman,"Well we're supposed to shoot your commercial today, you fat piece of crap!"
188,6,1,Butters Stotch,Well ah I don't know what to tell ya. Losin' weight is harder than puttin' it on.
189,6,1,Eric Cartman,"No it isn't, stupid blubberbutt!"
190,6,1,Stan Marsh,[Kyle finally produces the camera] Did you eat only once ounce of City Wok like we told you?!
191,6,1,Butters Stotch,"Well uh yeah, but ah, I don't know..."
192,6,1,Kyle Broflovski,Why are you doing this to us?!
193,6,1,Stan Marsh,All prepared for liposuction surgery?
194,6,1,Eric Cartman,Check.
195,6,1,Butters Stotch,"Uh, I don't know about this, fellas."
196,6,1,Stan Marsh,"[shoots back] Hey, you're the one who screwed us by not losing weight, Butters. [Cartman makes sure the scalpel is sharp]"
197,6,1,Kyle Broflovski,"[faces Stan] Okay, it says here the operation begins with a one-inch incision in the ab-do-men on the left side just above the hip."
198,6,1,Eric Cartman,That should blah [babbles a bit] ah- here. [cuts into Butters' abdomen]
199,6,1,Butters Stotch,[reacts] Woahhh!
200,6,1,Eric Cartman,Oh stop your bitchin' Butters! Kenny woulda took it like a man!
201,6,1,Kyle Broflovski,"Okay, now put one end of the tube a half an inch into the incision. [Cartman picks up one end of the tube and inserts it into the incision]"
202,6,1,Eric Cartman,Alrighty.
203,6,1,Butters Stotch,"Whoa. I think this is a bad idea, fellas. I feel woozy."
204,6,1,Eric Cartman,"Alright, I think it's in. [turns around]"
205,6,1,Kyle Broflovski,"The liposuction is a process of siphoning out the excess fat. [Cartman stalls, then picks up the other end and starts sucking the fat out]"
206,6,1,Eric Cartman,"[spits out the hose as soon as the fat hits his lips] Bohogh, egh. [puts the hose into the pail for the fat to collect]"
207,6,1,Butters Stotch,Waaaahh!
