,season,episode,character,line
117,14,2,Lola,"Yeah, get a life and stop mooching off others' success for once. [the girls leave]"
118,14,2,Stan Marsh,God-damnit!
119,14,2,Kyle Broflovski,"Butters, do you really think it's fair to lie like this?! Let me tell you, if you don't have the-"
120,14,2,Butters Stotch,"No, let me tell you somethin', fellers! You always take advantage of me, and after reading The Catcher in the Rye, I've learned you're nothing but phonies! I'm not letting you trick me this time! So the four of you can just suck on my wiener!"
121,14,2,Eric Cartman,That inconsiderate jerk!
122,14,2,An Announcer,"Today on Today: We meet the author of the book that has swept the nation, and has now spawned TV's most popular game show, ""How Long Can You Listen To Scrotie McBoogerballs On Audiobook"" [the studio audience joins in] ""And Not Vomit?"" [a contestant is fitted with headphones and place in a soundproof booth. The front panel is a glass door so the audience can see the contestant's reaction without getting sprayed with vomit. It only takes two seconds of listening before the contestant vomits all over the door] The book is full of disgusting words and acts, including Sarah Jessica Parker, who is mentioned four hundred and sixty-five times. [a shot of Parker and her date at the Oscars] Matthew Broderick, are you upset your wife is made fun of so much in the book?"
123,14,2,Matthew Broderick,"Well, obviously. I just think it's wrong to make fun of anybody's physical appearance. My wife is a beautiful woman and I know that most people agree with me."
124,14,2,An Announcer,"Uh huh, and Matthew, how come a transvestite donkey witch is standing next to you, and why is it wearing a dress? [cut to a shot of the Stotch family sitting in Butters' room]"
125,14,2,Matt Lauer,"Joining us now is the author of the book, Leopold Stotch, along with his parents."
126,14,2,Stephen Stotch,Hello Matt
127,14,2,Linda Stotch,Hi everyone.
128,14,2,Matt Lauer,You must be pretty proud of your son.
129,14,2,Stephen Stotch,"Oh, we certainly are. We're thrilled to learn he's so very talented."
130,14,2,Meredith Vieira,And we also learned that your son is grounded. Is that correct?
131,14,2,Stephen Stotch,"Yes, we did have to ground him for the language in the novel of course."
132,14,2,Butters Stotch,I have to come right to my room after school.
133,14,2,Stephen Stotch,But we are very very proud nonetheless.
134,14,2,Al Roker,"[chuckles] Young man, now that you are a respected author, have you met any famous people?"
135,14,2,Butters Stotch,"Not yet, but as soon as I'm not grounded anymore, I'm hopin' to meet Kim Kardashian. I wanna jump on her belly."
